TransactionAmount,TransactionType,Location,Channel,CustomerOccupation,TransactionDuration,LoginAttempts,AgeBin,AccountBalanceBin,Target
626.9,Debit,Denver,Online,Student,138.0,1.0,1.0,1.0,3
22.00999999999999,Credit,Sacramento,Online,Engineer,175.0,1.0,0.0,1.0,5
425.34,Credit,Kansas City,Online,Retired,121.0,1.0,2.0,0.0,5
424.56,Debit,Omaha,Online,Engineer,264.0,1.0,2.0,0.0,0
85.43,Debit,Virginia Beach,Branch,Doctor,145.0,1.0,2.0,2.0,6
169.5,Debit,San Diego,Branch,Student,142.0,1.0,1.0,1.0,3
104.63,Debit,Omaha,ATM,Retired,90.0,1.0,2.0,0.0,0
316.95,Debit,Mesa,Branch,Student,83.0,1.0,1.0,1.0,3
60.53999999999999,Credit,Columbus,Branch,Retired,52.0,1.0,2.0,0.0,5
292.56,Credit,Dallas,Branch,Retired,60.99999999999999,1.0,2.0,0.0,5
386.52,Debit,Indianapolis,Branch,Engineer,28.0,1.0,0.0,0.0,4
112.07,Debit,Kansas City,Branch,Student,51.0,1.0,1.0,1.0,3
568.52,Debit,Indianapolis,ATM,Engineer,152.0,1.0,0.0,0.0,4
263.99,Debit,Dallas,Branch,Retired,227.0,2.0,2.0,0.0,0
349.64,Debit,Las Vegas,Online,Engineer,226.0,1.0,0.0,0.0,4
601.4,Credit,Philadelphia,Branch,Engineer,104.0,1.0,2.0,2.0,6
5.77000000000001,Debit,Charlotte,Online,Doctor,124.0,1.0,0.0,2.0,1
201.33,Credit,Nashville,Branch,Engineer,186.0,1.0,0.0,0.0,5
298.42,Debit,Indianapolis,Branch,Retired,225.0,1.0,2.0,0.0,0
521.06,Debit,Albuquerque,Branch,Student,128.0,1.0,1.0,1.0,3
117.28,Credit,Austin,Online,Engineer,16.0,1.0,2.0,0.0,5
189.12,Credit,Indianapolis,nan,Engineer,103.0,1.0,0.0,1.0,5
133.55,Debit,Atlanta,ATM,Engineer,220.0,1.0,0.0,0.0,4
143.20999999999998,Debit,Dallas,Online,Engineer,135.0,1.0,0.0,0.0,4
24.77000000000004,Debit,Boston,ATM,Retired,55.0,1.0,2.0,0.0,0
233.92,Credit,Jacksonville,Online,Student,280.0,1.0,1.0,0.0,5
232.12,Debit,nan,ATM,Engineer,51.0,1.0,0.0,0.0,4
91.53,Debit,Milwaukee,Branch,Doctor,69.0,1.0,0.0,2.0,1
120.29000000000002,Debit,Miami,Branch,Student,77.0,1.0,1.0,1.0,3
174.25,Debit,Seattle,Online,Doctor,67.0,1.0,0.0,2.0,1
183.71,Debit,Denver,ATM,Engineer,102.0,1.0,0.0,1.0,4
345.39,Credit,Phoenix,nan,Engineer,80.0,1.0,2.0,0.0,5
259.91,Debit,Denver,Online,Doctor,170.0,1.0,0.0,0.0,4
154.71,Debit,San Diego,Online,Doctor,157.0,1.0,0.0,1.0,1
24.560000000000002,Debit,Mesa,Branch,Doctor,69.0,1.0,2.0,2.0,6
568.07,nan,Washington,ATM,Doctor,115.0,1.0,0.0,2.0,1
9.610000000000042,Credit,San Diego,Online,Doctor,179.0,1.0,2.0,2.0,6
392.96,Debit,Kansas City,Online,Student,100.0,1.0,1.0,1.0,3
716.9300000000001,Credit,Milwaukee,Online,Retired,34.0,1.0,2.0,0.0,5
223.85,Debit,Kansas City,ATM,Engineer,55.0,4.0,2.0,0.0,2
230.66,Debit,Houston,Branch,Student,135.0,1.0,1.0,1.0,3
644.17,Debit,San Antonio,ATM,Engineer,72.0,1.0,1.0,1.0,4
508.67999999999995,Credit,Mesa,Branch,Engineer,127.0,1.0,2.0,0.0,5
858.63,Credit,San Francisco,Branch,Student,185.0,1.0,1.0,1.0,5
25.360000000000014,Debit,Louisville,ATM,Engineer,78.0,1.0,2.0,1.0,0
147.62,Debit,Charlotte,Branch,Retired,133.0,1.0,2.0,0.0,0
115.01999999999998,Debit,San Antonio,Branch,Doctor,175.0,1.0,0.0,0.0,4
383.37,Debit,Fort Worth,Branch,Engineer,24.0,1.0,1.0,2.0,6
98.54000000000002,Credit,El Paso,Online,Student,167.0,1.0,1.0,2.0,5
83.24000000000001,nan,Fort Worth,Branch,Doctor,164.0,1.0,2.0,1.0,0
196.16,Debit,Virginia Beach,Branch,Engineer,146.0,1.0,1.0,2.0,1
129.94,Debit,Las Vegas,ATM,Engineer,235.0,1.0,0.0,0.0,4
306.9,Debit,Colorado Springs,Online,Engineer,51.0,1.0,0.0,2.0,1
114.98000000000002,Debit,Seattle,Online,Retired,80.0,1.0,2.0,0.0,0
756.59,Debit,Sacramento,Branch,Student,17.0,1.0,1.0,1.0,3
503.76,Debit,Los Angeles,Online,Student,35.0,1.0,1.0,1.0,3
143.03,Debit,San Antonio,ATM,Retired,147.0,1.0,2.0,0.0,0
245.54,nan,New York,ATM,Student,180.0,1.0,1.0,1.0,3
254.37,Credit,Dallas,Online,Engineer,174.0,1.0,2.0,2.0,6
213.76,Credit,Dallas,ATM,Retired,282.0,1.0,2.0,0.0,5
327.86,Debit,Fresno,Online,Engineer,104.0,1.0,0.0,1.0,4
2.5,Debit,San Diego,Online,Doctor,107.0,1.0,0.0,2.0,1
300.08,Credit,Austin,Online,Doctor,47.0,1.0,2.0,2.0,6
56.97999999999999,Credit,Oklahoma City,ATM,Engineer,122.0,2.0,0.0,0.0,4
407.65,Debit,Boston,Online,Engineer,62.0,1.0,1.0,2.0,6
115.82999999999998,Debit,Fresno,Branch,Engineer,167.0,1.0,0.0,0.0,4
53.56999999999999,Debit,Houston,ATM,Retired,121.0,1.0,2.0,1.0,0
63.34,Credit,Detroit,Online,Doctor,165.0,1.0,0.0,2.0,1
317.87,Debit,Detroit,Online,Student,91.0,1.0,1.0,1.0,3
331.65,Debit,Portland,Online,Engineer,60.99999999999999,1.0,0.0,0.0,4
5.039999999999992,Debit,Washington,ATM,Retired,41.0,1.0,2.0,0.0,0
214.54,Credit,Detroit,Online,Doctor,247.0,1.0,2.0,2.0,6
598.81,Debit,Philadelphia,Branch,Doctor,158.0,1.0,2.0,1.0,6
841.28,Debit,Tucson,Online,Student,80.0,1.0,1.0,1.0,3
38.150000000000034,Debit,Mesa,Online,Student,108.0,1.0,1.0,1.0,3
124.72,Debit,Oklahoma City,Branch,Engineer,105.0,1.0,0.0,0.0,4
302.45,Credit,San Antonio,Branch,Retired,40.0,1.0,2.0,0.0,5
208.04,Debit,Louisville,Online,Engineer,273.0,1.0,0.0,2.0,1
5.77000000000001,Credit,Los Angeles,Branch,Student,254.0,1.0,1.0,1.0,5
381.33,Debit,Albuquerque,ATM,Doctor,75.0,1.0,2.0,2.0,6
16.159999999999968,Debit,Milwaukee,ATM,Doctor,124.0,1.0,0.0,2.0,1
486.08,Debit,Oklahoma City,Online,Student,68.0,1.0,1.0,1.0,3
336.39,Debit,San Antonio,Branch,Student,18.000000000000014,1.0,1.0,1.0,3
234.57,Debit,Chicago,Online,Student,120.0,1.0,1.0,1.0,3
6.0,Debit,Chicago,Online,Doctor,246.0,1.0,1.0,0.0,4
227.14,Debit,Charlotte,ATM,Student,294.0,1.0,1.0,1.0,3
233.74,Credit,Oklahoma City,Online,Retired,17.0,1.0,2.0,1.0,5
45.849999999999994,Debit,Los Angeles,ATM,Student,92.0,1.0,1.0,1.0,3
415.5,Debit,Memphis,ATM,Doctor,141.0,1.0,2.0,2.0,6
265.76,Debit,Philadelphia,Online,Retired,92.0,1.0,2.0,0.0,0
69.4,Debit,Virginia Beach,Online,Retired,113.0,1.0,2.0,0.0,0
332.93,Credit,Albuquerque,Branch,Engineer,293.0,1.0,0.0,0.0,5
267.9,Debit,San Antonio,Online,Student,160.0,1.0,1.0,1.0,3
496.03,Debit,San Francisco,Branch,Doctor,265.0,1.0,2.0,2.0,6
376.26,Debit,Tucson,ATM,Engineer,245.0,1.0,0.0,2.0,1
83.01999999999998,Credit,Seattle,Online,Engineer,171.0,1.0,0.0,2.0,1
93.25999999999999,Credit,New York,Online,Student,72.0,1.0,1.0,1.0,5
803.37,Credit,Memphis,Branch,Doctor,129.0,1.0,2.0,2.0,6
35.76000000000002,Debit,Charlotte,Branch,Student,122.0,1.0,1.0,1.0,3
28.529999999999973,Debit,Washington,Online,Doctor,99.0,1.0,2.0,2.0,6
139.53,Credit,Louisville,Online,Doctor,177.0,1.0,2.0,2.0,6
307.57,Debit,Detroit,Branch,Doctor,285.0,1.0,0.0,0.0,4
60.650000000000006,Credit,Tucson,Branch,Retired,53.0,1.0,2.0,1.0,5
74.86000000000001,Debit,Nashville,Branch,Doctor,125.0,1.0,2.0,0.0,0
231.91,Debit,Memphis,ATM,Engineer,165.0,1.0,0.0,1.0,4
126.20999999999998,Debit,Baltimore,Branch,Retired,268.0,1.0,2.0,0.0,0
506.28,Credit,Chicago,Online,Retired,162.0,2.0,2.0,1.0,5
304.35,Debit,Houston,Branch,Engineer,36.0,1.0,0.0,0.0,4
281.85,Debit,Detroit,ATM,Student,109.0,1.0,1.0,1.0,3
777.88,Debit,Houston,Branch,Engineer,17.0,1.0,0.0,0.0,4
119.18,Debit,Los Angeles,Branch,Retired,96.0,1.0,2.0,0.0,0
177.19,Debit,Chicago,Online,Retired,43.0,1.0,2.0,0.0,0
260.88,Debit,Denver,Branch,Student,36.0,1.0,1.0,1.0,3
169.47,Debit,Chicago,Online,Student,19.0,1.0,1.0,1.0,3
73.23000000000002,Debit,Portland,Branch,Student,14.0,1.0,1.0,1.0,3
792.57,Debit,Baltimore,ATM,Student,164.0,1.0,1.0,1.0,3
237.06,Debit,Phoenix,Online,Retired,46.0,1.0,2.0,1.0,0
34.170000000000016,Credit,Philadelphia,Online,Engineer,54.0,1.0,2.0,1.0,5
740.25,Debit,Philadelphia,Online,Doctor,123.0,1.0,0.0,2.0,1
453.54,Debit,Albuquerque,ATM,Doctor,82.0,1.0,2.0,2.0,6
300.47,Debit,Jacksonville,Branch,Retired,100.0,1.0,2.0,0.0,0
110.93,Credit,Virginia Beach,Branch,Student,201.0,1.0,1.0,1.0,5
201.69,Debit,Las Vegas,ATM,Doctor,299.0,1.0,2.0,0.0,0
399.21,Debit,Portland,ATM,Engineer,109.0,1.0,2.0,0.0,0
630.36,Debit,Mesa,ATM,Retired,52.0,1.0,2.0,1.0,0
10.939999999999998,Credit,Philadelphia,ATM,Engineer,245.0,1.0,2.0,1.0,5
215.9,Debit,Los Angeles,ATM,Doctor,235.0,1.0,0.0,0.0,4
226.37,nan,Louisville,Branch,Doctor,141.0,1.0,0.0,2.0,1
444.89,Credit,Las Vegas,Branch,Doctor,101.0,1.0,0.0,2.0,1
280.57,Credit,Virginia Beach,Online,Student,24.0,1.0,1.0,1.0,5
488.54,Debit,Jacksonville,Branch,Engineer,132.0,1.0,2.0,0.0,0
3.3000000000000114,Credit,Los Angeles,Branch,Doctor,131.0,1.0,0.0,2.0,1
199.39,nan,Colorado Springs,Branch,Retired,165.0,1.0,2.0,0.0,0
20.359999999999985,Debit,Tucson,Branch,Retired,75.0,1.0,2.0,0.0,0
493.11,Debit,Colorado Springs,Branch,Retired,236.0,1.0,2.0,0.0,0
307.41,Debit,Los Angeles,ATM,Student,14.0,1.0,1.0,1.0,3
11.180000000000007,Debit,Atlanta,Online,Doctor,161.0,1.0,0.0,0.0,4
313.82,Debit,Tucson,Branch,Engineer,151.0,1.0,2.0,0.0,0
140.98000000000002,Debit,Memphis,Branch,Engineer,100.0,1.0,2.0,2.0,6
288.04,Debit,Denver,ATM,Retired,63.0,1.0,2.0,1.0,0
800.55,Debit,Oklahoma City,ATM,Engineer,108.0,1.0,0.0,2.0,1
485.54,Debit,Houston,ATM,Engineer,143.0,1.0,0.0,0.0,4
521.15,Debit,Kansas City,ATM,Doctor,214.0,1.0,2.0,2.0,6
304.93,Debit,Portland,ATM,Doctor,158.0,1.0,2.0,2.0,6
432.08,nan,El Paso,ATM,Doctor,145.0,1.0,0.0,2.0,1
694.2,Debit,Milwaukee,ATM,Retired,72.0,1.0,2.0,1.0,0
116.86000000000001,Debit,Louisville,ATM,Engineer,171.0,1.0,2.0,0.0,0
74.88,Debit,Atlanta,ATM,Student,202.0,1.0,1.0,1.0,3
890.24,Credit,Las Vegas,Online,Engineer,161.0,1.0,0.0,0.0,5
361.27,Debit,Omaha,ATM,Doctor,180.0,1.0,2.0,0.0,0
131.56,Debit,Charlotte,Branch,Doctor,42.0,1.0,0.0,0.0,4
485.51,Credit,Milwaukee,Online,Retired,37.000000000000014,1.0,2.0,0.0,5
547.87,Debit,Columbus,ATM,Retired,131.0,1.0,2.0,0.0,0
457.3,Debit,Virginia Beach,Online,Engineer,15.0,1.0,1.0,2.0,1
506.24,Debit,Chicago,ATM,Engineer,64.0,1.0,2.0,1.0,0
486.59,Debit,Indianapolis,Branch,Retired,119.0,1.0,2.0,0.0,0
163.68,Debit,San Diego,Branch,Doctor,292.0,1.0,0.0,2.0,1
581.65,Debit,Boston,ATM,Student,176.0,1.0,1.0,1.0,3
52.00999999999999,Debit,Mesa,ATM,Doctor,85.0,1.0,0.0,1.0,4
630.24,Debit,Boston,ATM,Student,62.0,1.0,1.0,1.0,3
523.74,Debit,Oklahoma City,ATM,Doctor,159.0,1.0,0.0,2.0,1
705.5999999999999,Debit,Phoenix,Branch,Doctor,124.0,3.0,0.0,2.0,2
217.5,Credit,Denver,Branch,Engineer,35.0,1.0,0.0,0.0,5
91.48000000000002,Debit,Fort Worth,ATM,Doctor,141.0,1.0,2.0,2.0,6
5.25,Debit,San Jose,ATM,Doctor,49.0,1.0,0.0,2.0,1
54.03,Credit,Milwaukee,ATM,Retired,161.0,1.0,2.0,0.0,5
736.73,Debit,Memphis,Branch,Engineer,10.0,1.0,0.0,0.0,4
368.91,nan,Virginia Beach,Branch,Doctor,14.0,1.0,2.0,1.0,6
33.06,Credit,Fort Worth,Online,Retired,170.0,1.0,2.0,1.0,5
66.5,Credit,Louisville,Online,Engineer,144.0,1.0,0.0,0.0,5
177.08,Debit,Las Vegas,nan,Doctor,85.0,1.0,0.0,2.0,1
588.54,Debit,Portland,Branch,Engineer,130.0,1.0,0.0,1.0,4
173.5,Debit,Nashville,ATM,Student,282.0,1.0,1.0,1.0,3
78.32999999999998,Credit,Memphis,Online,Engineer,189.0,1.0,2.0,0.0,5
40.66,Debit,Louisville,Branch,Retired,156.0,1.0,2.0,1.0,0
97.22,Credit,Atlanta,Branch,Retired,55.0,1.0,2.0,0.0,5
34.06999999999999,Debit,Philadelphia,Branch,Student,81.0,1.0,1.0,2.0,3
492.06,Debit,Fresno,Online,Student,74.0,1.0,1.0,1.0,3
842.01,Credit,Virginia Beach,Online,Doctor,185.0,1.0,2.0,1.0,5
73.55000000000001,Debit,Atlanta,ATM,Engineer,158.0,1.0,2.0,0.0,0
760.53,Debit,Phoenix,Online,Engineer,118.0,1.0,2.0,0.0,0
371.69,Debit,San Francisco,Branch,Retired,143.0,1.0,2.0,0.0,0
218.96,Debit,Seattle,ATM,Student,13.0,1.0,1.0,1.0,3
227.39,Debit,Atlanta,Online,Student,65.0,1.0,1.0,1.0,3
237.99,Credit,Kansas City,Branch,Doctor,86.0,1.0,0.0,2.0,1
186.6,Debit,nan,Online,Doctor,13.0,1.0,2.0,1.0,6
341.15,Debit,San Jose,Online,Student,148.0,1.0,1.0,1.0,3
434.58,Debit,Memphis,ATM,Doctor,215.0,1.0,2.0,2.0,6
312.88,Credit,Portland,Branch,Engineer,44.0,1.0,2.0,1.0,5
75.15,Debit,Boston,ATM,Student,154.0,1.0,1.0,1.0,3
23.30000000000001,Debit,Los Angeles,ATM,Engineer,161.0,1.0,2.0,0.0,0
47.379999999999995,Credit,Seattle,Online,Student,60.99999999999999,1.0,1.0,1.0,5
512.81,Debit,Sacramento,Branch,Retired,30.0,1.0,2.0,0.0,0
488.15,Debit,Louisville,Branch,Engineer,168.0,1.0,0.0,0.0,4
12.819999999999965,Debit,Fort Worth,ATM,Engineer,156.0,1.0,0.0,2.0,1
66.9,Credit,Charlotte,Online,Retired,129.0,4.0,2.0,0.0,2
535.91,Debit,Las Vegas,Online,Engineer,22.0,1.0,0.0,2.0,1
270.72,Credit,Washington,Online,Engineer,53.0,1.0,1.0,0.0,5
97.98000000000002,Debit,Denver,Branch,Retired,18.000000000000014,1.0,2.0,0.0,0
196.08,Debit,San Francisco,Online,Retired,98.0,1.0,2.0,0.0,0
251.18,Debit,San Jose,ATM,Engineer,246.0,1.0,0.0,2.0,1
44.52000000000001,Debit,El Paso,Online,Student,205.0,1.0,1.0,1.0,3
178.87,Debit,Baltimore,Online,Doctor,180.0,1.0,0.0,0.0,4
386.68,Debit,New York,Branch,Doctor,128.0,1.0,0.0,0.0,4
167.14,Debit,Denver,Online,Retired,20.0,1.0,2.0,0.0,0
345.22,Debit,Fresno,Branch,Retired,253.0,1.0,2.0,0.0,0
74.85,Debit,Raleigh,ATM,Retired,117.0,1.0,2.0,0.0,0
671.73,Debit,Washington,Branch,Engineer,54.0,1.0,2.0,0.0,0
255.04,Debit,Seattle,ATM,Engineer,152.0,1.0,0.0,0.0,4
45.77000000000001,Debit,Philadelphia,Online,Student,109.0,1.0,1.0,0.0,3
329.69,Credit,San Antonio,Online,Student,66.0,1.0,1.0,1.0,5
362.04,Credit,Philadelphia,Branch,Doctor,198.0,2.0,2.0,2.0,6
11.919999999999987,Debit,San Diego,nan,Doctor,52.0,1.0,2.0,2.0,6
47.420000000000016,Debit,San Diego,ATM,Doctor,28.0,1.0,2.0,2.0,6
35.99000000000001,Debit,Miami,Branch,Retired,129.0,1.0,2.0,0.0,0
151.19,Credit,New York,Branch,Doctor,96.0,1.0,0.0,2.0,1
242.62,Credit,San Francisco,Online,Student,234.0,1.0,1.0,1.0,5
48.72,Debit,Virginia Beach,Branch,Student,17.0,1.0,1.0,1.0,3
43.46000000000001,Debit,Boston,ATM,Student,80.0,1.0,1.0,1.0,3
443.79,Debit,Las Vegas,ATM,Retired,87.0,1.0,2.0,0.0,0
365.14,Debit,Dallas,Online,Retired,57.0,1.0,2.0,0.0,0
757.41,Debit,Los Angeles,ATM,Student,37.000000000000014,1.0,1.0,2.0,3
20.539999999999964,Debit,Fort Worth,Branch,Engineer,72.0,1.0,2.0,0.0,0
475.36,Debit,Phoenix,ATM,Engineer,105.0,1.0,0.0,0.0,4
34.73999999999998,Debit,San Francisco,ATM,Retired,24.0,1.0,2.0,0.0,0
689.54,Debit,Oklahoma City,Branch,Student,93.0,1.0,1.0,1.0,3
211.18,Debit,Washington,ATM,Retired,90.0,1.0,2.0,0.0,0
211.36,Credit,Fort Worth,Branch,Engineer,286.0,1.0,2.0,0.0,5
744.41,Credit,Houston,Online,Engineer,107.0,1.0,0.0,2.0,1
61.43000000000001,Debit,Phoenix,Online,Student,170.0,1.0,1.0,1.0,3
167.44,Debit,Mesa,Branch,Doctor,82.0,1.0,0.0,2.0,1
361.46,Debit,Nashville,Online,Student,83.0,1.0,1.0,0.0,3
378.85,Debit,Virginia Beach,Branch,Retired,126.0,1.0,2.0,0.0,0
241.11,Debit,Columbus,Branch,Doctor,55.0,1.0,1.0,2.0,6
131.93,Credit,Fort Worth,Branch,Engineer,13.0,1.0,0.0,0.0,5
20.279999999999973,Debit,Oklahoma City,Online,Engineer,213.0,1.0,0.0,0.0,4
415.88,Debit,San Diego,Branch,Doctor,170.0,1.0,2.0,2.0,6
100.66,Debit,Dallas,Branch,Doctor,144.0,1.0,0.0,2.0,1
485.54,Debit,Louisville,Online,Student,148.0,1.0,1.0,1.0,3
321.15,Debit,Los Angeles,Branch,Doctor,179.0,1.0,0.0,0.0,4
711.3,Debit,San Jose,Branch,Student,51.0,1.0,1.0,1.0,3
12.22999999999999,Debit,Houston,ATM,Engineer,139.0,1.0,0.0,0.0,4
350.94,Debit,Colorado Springs,ATM,Student,64.0,1.0,1.0,1.0,3
301.85,Debit,Columbus,Online,Engineer,25.0,1.0,2.0,0.0,0
29.339999999999975,Debit,Louisville,Online,Retired,30.0,1.0,2.0,0.0,0
231.71,Debit,Raleigh,Branch,Student,148.0,1.0,1.0,1.0,3
179.43,Debit,Oklahoma City,ATM,Retired,244.0,1.0,2.0,0.0,0
36.71000000000001,Debit,Jacksonville,Branch,Doctor,55.0,1.0,0.0,0.0,4
138.12,Credit,Los Angeles,Branch,Doctor,281.0,1.0,2.0,1.0,5
233.24,Debit,Louisville,ATM,Engineer,72.0,1.0,0.0,0.0,4
609.14,Debit,Tucson,ATM,Engineer,177.0,1.0,0.0,2.0,1
436.64,Debit,Los Angeles,Branch,Doctor,111.0,1.0,0.0,2.0,1
870.43,Debit,Los Angeles,Branch,Doctor,55.0,1.0,1.0,2.0,6
354.4,Debit,Chicago,ATM,Retired,128.0,1.0,2.0,0.0,0
22.630000000000024,Debit,Kansas City,Online,Engineer,112.0,1.0,2.0,0.0,0
182.19,Debit,Mesa,Branch,Student,53.0,1.0,1.0,1.0,3
126.81,Debit,Philadelphia,Branch,Engineer,290.0,1.0,1.0,0.0,4
288.17,Debit,Virginia Beach,Online,Engineer,50.0,1.0,0.0,0.0,4
118.76999999999998,Debit,Atlanta,Branch,Engineer,123.0,1.0,2.0,0.0,0
651.82,Debit,Indianapolis,ATM,Student,166.0,1.0,1.0,1.0,3
66.65,Debit,Detroit,ATM,Engineer,33.0,1.0,0.0,0.0,4
98.53,Debit,Denver,Branch,Retired,166.0,1.0,2.0,0.0,0
138.95,Debit,Washington,Online,Retired,30.0,1.0,2.0,0.0,0
33.88999999999996,Debit,Nashville,Branch,Student,177.0,1.0,1.0,1.0,3
23.710000000000036,Debit,Atlanta,Branch,Doctor,164.0,1.0,2.0,2.0,6
26.060000000000002,Debit,San Diego,ATM,Doctor,283.0,1.0,2.0,2.0,6
17.069999999999993,Debit,Los Angeles,Branch,Engineer,44.0,1.0,1.0,0.0,4
703.89,Debit,San Antonio,Online,Engineer,62.0,1.0,0.0,0.0,4
26.55000000000004,Debit,Houston,ATM,Retired,228.0,1.0,2.0,0.0,0
147.4,Debit,San Jose,Branch,Engineer,259.0,1.0,0.0,0.0,4
202.11,Debit,Memphis,ATM,Student,18.000000000000014,1.0,1.0,1.0,3
308.42,Debit,Nashville,Branch,Retired,39.0,1.0,2.0,0.0,0
11.180000000000007,Debit,Miami,ATM,Engineer,144.0,1.0,2.0,0.0,0
294.15,Debit,Fresno,Online,Engineer,136.0,1.0,0.0,0.0,4
139.45,Debit,Boston,Online,Student,31.0,1.0,1.0,1.0,3
432.63,Debit,Colorado Springs,ATM,Doctor,137.0,1.0,1.0,2.0,6
131.43,Debit,Charlotte,Online,Doctor,65.0,1.0,0.0,1.0,1
516.72,Debit,Mesa,ATM,Engineer,128.0,1.0,0.0,0.0,4
121.82,Debit,Colorado Springs,Online,Doctor,123.0,3.0,2.0,2.0,2
374.5,Credit,San Francisco,Branch,Student,178.0,1.0,1.0,1.0,5
166.13,Debit,Omaha,ATM,Doctor,227.0,1.0,2.0,2.0,6
626.9,Debit,Chicago,ATM,Student,146.0,1.0,1.0,1.0,3
466.85,Debit,Austin,Branch,Retired,165.0,1.0,2.0,0.0,0
788.84,Debit,Phoenix,Online,Retired,231.0,1.0,2.0,1.0,0
525.28,Debit,Colorado Springs,ATM,Retired,134.0,1.0,2.0,0.0,0
110.17000000000002,nan,Raleigh,ATM,Engineer,137.0,1.0,1.0,1.0,4
632.69,Debit,Denver,ATM,Retired,76.0,1.0,2.0,0.0,0
124.35,Debit,Oklahoma City,ATM,Retired,90.0,1.0,2.0,0.0,0
43.849999999999994,Debit,Fresno,ATM,Retired,122.0,1.0,2.0,0.0,0
283.81,Debit,San Diego,Branch,Student,28.999999999999986,1.0,1.0,1.0,3
168.53,Debit,San Francisco,ATM,Retired,112.0,1.0,2.0,0.0,0
218.59,Credit,Denver,Branch,Engineer,123.0,1.0,0.0,0.0,5
132.84,Debit,Oklahoma City,ATM,Student,143.0,1.0,1.0,1.0,3
157.37,Credit,Dallas,Branch,Doctor,289.0,1.0,0.0,2.0,1
